Time,Temp,RH,Pres,CO2,Gas,PM1,PM25,PM10
2024_05_16 - 07:05:54 PM, 0.00, 0.00, 871.74, 0.00, 26.51, 0, 8, 40
2024_05_16 - 07:05:55 PM, 0.00, 0.00, 871.86, 0.00, 26.53, 0, 8, 40
2024_05_16 - 07:05:57 PM, 0.00, 0.00, 871.86, 0.00, 26.53, 0, 8, 40
2024_05_16 - 07:06:05 PM, 0.00, 0.00, 871.86, 0.00, 26.53, 0, 8, 40
2024_05_16 - 07:06:09 PM, 0.00, 0.00, 871.86, 0.00, 26.53, 0, 8, 40
2024_05_16 - 07:06:12 PM, 0.00, 0.00, 871.86, 0.00, 26.53, 0, 8, 40
2024_05_16 - 07:06:13 PM, 0.00, 0.00, 871.91, 0.00, 26.28, 0, 8, 40
2024_05_16 - 07:06:15 PM, 0.00, 0.00, 871.91, 0.00, 26.28, 0, 8, 40
2024_05_16 - 07:06:23 PM, 0.00, 0.00, 871.91, 0.00, 26.28, 0, 8, 40
2024_05_16 - 07:06:26 PM, 0.00, 0.00, 871.91, 0.00, 26.28, 0, 8, 40
2024_05_16 - 07:06:30 PM, 0.00, 0.00, 871.91, 0.00, 26.28, 0, 8, 40
2024_05_16 - 07:06:30 PM, 0.00, 0.00, 871.89, 0.00, 26.43, 0, 8, 40
2024_05_16 - 07:06:32 PM, 0.00, 0.00, 871.89, 0.00, 26.43, 0, 8, 40
2024_05_16 - 07:06:41 PM, 0.00, 0.00, 871.89, 0.00, 26.43, 0, 8, 40
2024_05_16 - 07:06:44 PM, 0.00, 0.00, 871.89, 0.00, 26.43, 0, 8, 40
2024_05_16 - 07:06:47 PM, 0.00, 0.00, 871.89, 0.00, 26.43, 0, 8, 40
2024_05_16 - 07:06:48 PM, 0.00, 0.00, 871.93, 0.00, 26.51, 0, 8, 40
2024_05_16 - 07:06:50 PM, 0.00, 0.00, 871.93, 0.00, 26.51, 0, 8, 40
2024_05_16 - 07:06:59 PM, 0.00, 0.00, 871.93, 0.00, 26.51, 0, 8, 40
2024_05_16 - 07:07:02 PM, 0.00, 0.00, 871.93, 0.00, 26.51, 0, 8, 40
2024_05_16 - 07:07:05 PM, 0.00, 0.00, 871.93, 0.00, 26.51, 0, 8, 40
2024_05_16 - 07:07:06 PM, 0.00, 0.00, 871.93, 0.00, 26.55, 0, 8, 40
2024_05_16 - 07:07:08 PM, 0.00, 0.00, 871.93, 0.00, 26.55, 0, 8, 40
2024_05_16 - 07:07:17 PM, 0.00, 0.00, 871.93, 0.00, 26.55, 0, 8, 40
2024_05_16 - 07:07:20 PM, 0.00, 0.00, 871.93, 0.00, 26.55, 0, 8, 40
2024_05_16 - 07:07:23 PM, 0.00, 0.00, 871.93, 0.00, 26.55, 0, 8, 40
2024_05_16 - 07:07:24 PM, 0.00, 0.00, 871.99, 0.00, 26.73, 0, 8, 40
2024_05_16 - 07:07:26 PM, 0.00, 0.00, 871.99, 0.00, 26.73, 0, 8, 40
2024_05_16 - 07:07:35 PM, 0.00, 0.00, 871.99, 0.00, 26.73, 0, 8, 40
2024_05_16 - 07:07:38 PM, 0.00, 0.00, 871.99, 0.00, 26.73, 0, 8, 40
