Time,Temp,RH,Pres,CO2,VOC,PM1,PM25,PM10
2024_07_07 - 02:06:48 PM, 26.48, 31.08, 888.61, 559.16, 0.75, 4.00, 14.00, 24.00
2024_07_07 - 02:07:43 PM, 26.52, 30.91, 888.58, 558.49, 0.71, 2.00, 10.00, 20.00
2024_07_07 - 02:08:43 PM, 26.46, 31.12, 888.54, 558.46, 0.74, 4.00, 14.00, 24.00
2024_07_07 - 02:09:43 PM, 26.51, 30.89, 888.57, 555.69, 0.69, 2.00, 12.00, 24.00
2024_07_07 - 02:10:44 PM, 26.52, 30.65, 888.48, 553.39, 0.66, 2.00, 10.00, 20.00
2024_07_07 - 02:11:44 PM, 26.51, 30.92, 888.50, 548.83, 0.65, 4.00, 12.00, 22.00
2024_07_07 - 02:12:45 PM, 26.51, 30.80, 888.49, 547.47, 0.64, 2.00, 10.00, 20.00
2024_07_07 - 02:13:45 PM, 26.55, 30.61, 888.61, 542.66, 0.56, 0.00, 8.00, 18.00
2024_07_07 - 02:14:46 PM, 26.55, 30.61, 888.55, 542.66, 0.56, 4.00, 14.00, 24.00
2024_07_07 - 02:15:52 PM, 26.55, 30.79, 888.52, 538.38, 0.55, 2.00, 10.00, 20.00
2024_07_07 - 02:16:52 PM, 26.48, 30.78, 888.55, 537.78, 0.55, 4.00, 14.00, 24.00
2024_07_07 - 02:17:52 PM, 26.54, 30.70, 888.54, 536.07, 0.54, 2.00, 10.00, 20.00
2024_07_07 - 02:18:53 PM, 26.54, 30.73, 888.52, 536.35, 0.53, 6.00, 12.00, 22.00
2024_07_07 - 02:19:53 PM, 26.50, 30.85, 888.61, 535.06, 0.55, 4.00, 18.00, 28.00
2024_07_07 - 02:20:54 PM, 26.48, 30.84, 888.52, 536.68, 0.53, 8.00, 24.00, 36.00
2024_07_07 - 02:21:54 PM, 26.51, 30.77, 888.50, 539.67, 0.54, 4.00, 12.00, 24.00
2024_07_07 - 02:22:54 PM, 26.48, 30.72, 888.49, 537.27, 0.54, 4.00, 14.00, 24.00
2024_07_07 - 02:23:52 PM, 26.50, 30.78, 888.51, 537.66, 0.54, 4.00, 10.00, 20.00
2024_07_07 - 02:24:52 PM, 26.51, 30.70, 888.59, 540.64, 0.53, 4.00, 12.00, 22.00
2024_07_07 - 02:25:52 PM, 26.51, 30.70, 888.51, 540.64, 0.52, 2.00, 8.00, 18.00
2024_07_07 - 02:26:52 PM, 26.52, 30.63, 888.48, 541.53, 0.51, 2.00, 10.00, 20.00
2024_07_07 - 02:27:52 PM, 26.52, 30.52, 888.45, 538.20, 0.50, 6.00, 18.00, 28.00
2024_07_07 - 02:28:53 PM, 26.48, 30.46, 888.53, 538.45, 0.50, 4.00, 12.00, 22.00
2024_07_07 - 02:29:53 PM, 26.52, 30.43, 888.46, 537.70, 0.51, 4.00, 14.00, 24.00
2024_07_07 - 02:30:53 PM, 26.46, 30.41, 888.43, 534.16, 0.51, 4.00, 14.00, 26.00
2024_07_07 - 02:31:59 PM, 26.54, 30.83, 888.33, 536.69, 0.50, 4.00, 12.00, 22.00
2024_07_07 - 02:32:59 PM, 26.60, 31.17, 888.30, 540.93, 0.50, 2.00, 10.00, 26.00
2024_07_07 - 02:33:59 PM, 26.60, 30.79, 888.27, 543.91, 0.53, 2.00, 8.00, 18.00
2024_07_07 - 02:35:00 PM, 26.62, 30.85, 888.31, 542.69, 0.54, 2.00, 10.00, 20.00
2024_07_07 - 02:36:00 PM, 26.62, 30.85, 888.32, 542.69, 0.57, 2.00, 10.00, 20.00
2024_07_07 - 02:37:01 PM, 26.65, 30.85, 888.32, 549.24, 0.58, 2.00, 14.00, 24.00
2024_07_07 - 02:38:01 PM, 26.73, 30.62, 888.40, 551.59, 0.57, 2.00, 12.00, 24.00
2024_07_07 - 02:39:01 PM, 26.73, 31.27, 888.33, 556.93, 0.57, 6.00, 12.00, 24.00
2024_07_07 - 02:40:02 PM, 26.68, 30.99, 888.30, 564.77, 0.59, 2.00, 10.00, 20.00
2024_07_07 - 02:41:02 PM, 26.79, 30.68, 888.33, 570.67, 0.61, 2.00, 10.00, 22.00
2024_07_07 - 02:42:03 PM, 26.74, 30.49, 888.26, 570.50, 0.61, 2.00, 14.00, 24.00
2024_07_07 - 02:43:03 PM, 26.75, 30.44, 888.29, 574.02, 0.62, 6.00, 14.00, 24.00
2024_07_07 - 02:48:05 PM, 26.50, 31.10, 888.16, 586.26, 0.54, 4.00, 12.00, 24.00
2024_07_07 - 02:49:05 PM, 26.27, 31.43, 888.14, 592.55, 0.49, 6.00, 20.00, 30.00
2024_07_07 - 02:50:05 PM, 26.16, 31.38, 888.19, 596.36, 0.50, 2.00, 10.00, 20.00
2024_07_07 - 02:51:06 PM, 26.12, 31.45, 888.18, 599.73, 0.49, 4.00, 12.00, 28.00
2024_07_07 - 02:52:06 PM, 25.99, 31.39, 888.29, 602.31, 0.50, 2.00, 10.00, 20.00
2024_07_07 - 02:53:07 PM, 26.03, 31.54, 888.13, 606.53, 0.49, 2.00, 10.00, 20.00
