Time,Temp,RH,Pres,CO2,VOC,PM1,PM25,PM10
2024_07_10 - 12:52:09 AM,26.50,48.33,886.54,548.73,7.38,16.00,28.00,38.00

2024_07_10 - 12:53:09 AM,26.44,48.40,886.48,549.43,7.79,10.00,18.00,30.00

2024_07_10 - 12:54:09 AM,26.48,48.47,886.49,555.82,8.05,12.00,28.00,38.00

2024_07_10 - 12:55:09 AM,26.48,48.32,886.47,558.93,8.17,10.00,24.00,36.00

2024_07_10 - 12:56:10 AM,26.48,48.18,886.46,561.62,8.55,14.00,30.00,40.00

2024_07_10 - 12:57:10 AM,26.48,48.18,886.48,561.62,8.94,8.00,16.00,26.00

2024_07_10 - 12:58:10 AM,26.62,47.86,886.46,563.67,9.40,10.00,18.00,28.00

2024_07_10 - 12:59:11 AM,26.50,48.12,886.43,569.65,9.56,12.00,22.00,32.00

2024_07_10 - 01:00:11 AM,26.55,48.10,886.44,576.76,9.90,16.00,24.00,34.00

2024_07_10 - 01:01:11 AM,26.39,48.47,886.44,577.07,10.22,16.00,26.00,36.00

2024_07_10 - 01:02:11 AM,26.27,48.92,886.43,582.35,10.80,10.00,24.00,34.00

2024_07_10 - 01:03:12 AM,26.43,48.52,886.41,583.86,11.19,12.00,20.00,30.00

2024_07_10 - 01:04:12 AM,26.29,48.92,886.41,589.54,11.40,10.00,26.00,36.00

2024_07_10 - 01:05:12 AM,26.16,49.23,886.41,599.69,11.74,16.00,34.00,44.00

2024_07_10 - 01:06:13 AM,26.33,48.80,886.40,602.48,12.16,4.00,12.00,22.00

2024_07_10 - 01:07:13 AM,26.33,48.80,886.38,602.48,12.43,6.00,16.00,26.00

2024_07_10 - 01:08:13 AM,26.20,49.26,886.40,606.93,12.98,12.00,24.00,34.00

2024_07_10 - 01:09:13 AM,26.13,49.60,886.39,610.86,13.32,10.00,28.00,38.00

2024_07_10 - 01:10:14 AM,26.12,49.71,886.37,614.27,13.81,12.00,26.00,36.00

2024_07_10 - 01:11:14 AM,26.23,49.45,886.37,618.05,14.18,6.00,18.00,28.00

2024_07_10 - 01:12:14 AM,26.26,49.21,886.34,620.69,14.85,10.00,18.00,28.00

2024_07_10 - 01:13:15 AM,26.32,49.14,886.32,625.64,15.42,6.00,24.00,34.00

2024_07_10 - 01:14:15 AM,26.36,48.90,886.35,624.41,15.92,12.00,26.00,36.00

2024_07_10 - 01:15:15 AM,26.40,48.74,886.33,628.43,16.11,12.00,24.00,34.00

2024_07_10 - 01:16:15 AM,26.46,48.58,886.35,638.10,16.16,10.00,24.00,34.00

2024_07_10 - 01:17:16 AM,26.47,48.56,886.33,637.77,16.41,16.00,28.00,38.00

2024_07_10 - 01:18:16 AM,26.47,48.56,886.33,637.77,16.46,14.00,24.00,34.00

2024_07_10 - 01:19:16 AM,26.50,48.40,886.32,641.35,16.87,16.00,30.00,40.00

2024_07_10 - 01:20:17 AM,26.39,48.64,886.31,644.30,17.01,12.00,24.00,34.00

2024_07_10 - 01:21:17 AM,26.37,48.85,886.31,651.01,17.38,10.00,18.00,28.00

2024_07_10 - 01:22:17 AM,26.43,48.72,886.32,651.20,17.23,8.00,18.00,28.00

2024_07_10 - 01:23:17 AM,26.52,48.48,886.27,653.96,17.17,6.00,14.00,26.00

2024_07_10 - 01:24:18 AM,26.33,48.95,886.28,654.96,17.31,12.00,20.00,32.00

2024_07_10 - 01:25:18 AM,26.54,48.45,886.25,656.96,17.37,14.00,20.00,32.00

2024_07_10 - 01:26:18 AM,26.37,48.86,886.27,659.17,17.23,8.00,20.00,30.00

2024_07_10 - 01:27:19 AM,26.41,48.67,886.22,656.20,17.20,8.00,16.00,28.00

2024_07_10 - 01:28:19 AM,26.41,48.67,886.21,656.20,17.14,8.00,22.00,32.00

2024_07_10 - 01:29:19 AM,26.34,48.94,886.21,656.61,17.00,10.00,24.00,36.00

2024_07_10 - 01:30:19 AM,26.37,48.76,886.20,656.85,16.77,10.00,18.00,28.00

2024_07_10 - 01:31:20 AM,26.43,48.59,886.17,655.85,16.67,8.00,20.00,30.00

2024_07_10 - 01:32:20 AM,26.37,48.74,886.16,653.53,16.61,4.00,10.00,22.00

2024_07_10 - 01:33:20 AM,26.55,48.29,886.15,652.91,16.24,8.00,18.00,30.00

2024_07_10 - 01:34:21 AM,26.57,48.17,886.13,651.63,16.27,8.00,20.00,32.00

2024_07_10 - 01:35:21 AM,26.65,48.03,886.14,652.63,15.94,6.00,26.00,36.00

2024_07_10 - 01:36:21 AM,26.57,48.21,886.15,654.79,16.11,14.00,20.00,30.00

2024_07_10 - 01:37:21 AM,26.68,47.96,886.14,654.39,15.99,10.00,20.00,32.00

2024_07_10 - 01:38:22 AM,26.58,48.08,886.12,652.92,15.96,16.00,32.00,42.00

2024_07_10 - 01:39:22 AM,26.58,48.08,886.11,652.92,15.51,8.00,16.00,28.00

2024_07_10 - 01:40:22 AM,26.55,48.18,886.11,651.57,15.65,6.00,16.00,36.00

2024_07_10 - 01:41:23 AM,26.67,47.91,886.07,649.70,15.32,8.00,20.00,30.00

2024_07_10 - 01:42:23 AM,26.71,47.80,886.07,651.09,15.11,8.00,18.00,28.00

2024_07_10 - 01:43:23 AM,26.78,47.64,886.04,650.87,14.66,10.00,24.00,34.00

2024_07_10 - 01:44:23 AM,26.79,47.50,886.06,648.46,14.79,10.00,20.00,30.00

2024_07_10 - 01:45:24 AM,26.85,47.41,886.02,644.36,14.75,12.00,20.00,30.00

2024_07_10 - 01:46:24 AM,26.78,47.54,886.01,645.31,14.27,6.00,22.00,32.00

2024_07_10 - 01:47:24 AM,26.85,47.49,885.99,641.75,14.43,10.00,20.00,30.00

2024_07_10 - 01:48:25 AM,26.81,47.49,885.99,647.98,14.25,8.00,20.00,30.00

2024_07_10 - 01:49:25 AM,26.81,47.49,885.97,647.98,14.02,6.00,20.00,30.00

2024_07_10 - 01:50:25 AM,26.85,47.28,885.98,641.93,13.76,14.00,20.00,32.00

2024_07_10 - 01:51:25 AM,26.71,47.62,885.98,643.94,13.73,8.00,20.00,30.00

2024_07_10 - 01:52:26 AM,26.77,47.66,885.97,647.24,13.60,14.00,26.00,38.00

2024_07_10 - 01:53:26 AM,26.91,47.35,885.97,650.01,13.28,10.00,24.00,36.00

2024_07_10 - 01:54:26 AM,26.89,47.22,885.98,647.26,12.90,10.00,18.00,28.00

2024_07_10 - 01:55:27 AM,26.88,47.21,885.95,646.64,12.55,6.00,20.00,30.00

2024_07_10 - 01:56:27 AM,26.77,47.47,885.93,648.90,12.63,8.00,20.00,30.00

2024_07_10 - 01:57:27 AM,26.84,47.40,885.93,647.22,12.12,10.00,22.00,32.00

2024_07_10 - 01:58:27 AM,26.75,47.54,885.93,640.29,12.36,4.00,12.00,22.00

2024_07_10 - 01:59:28 AM,26.77,47.45,885.92,642.95,12.20,12.00,20.00,30.00

2024_07_10 - 02:00:28 AM,26.77,47.45,885.87,642.95,11.99,8.00,16.00,26.00

2024_07_10 - 02:01:28 AM,26.75,47.62,885.87,649.92,11.84,12.00,24.00,34.00

