{'Body': {'id': 1, 'msgid': 159, 'datetime': '2024-07-06T15:49:47', 'T': 22.85000038, 'RH': 32.74000168, 'P': 891.2600098, 'eVOC': 0.610000014, 'CO2': 422.4200134, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 160, 'datetime': '2024-07-06T15:50:57', 'T': 22.77000046, 'RH': 32.91999817, 'P': 891.2299805, 'eVOC': 0.660000026, 'CO2': 431.7399902, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 161, 'datetime': '2024-07-06T15:52:10', 'T': 22.78000069, 'RH': 32.77999878, 'P': 891.2399902, 'eVOC': 0.629999995, 'CO2': 425.5799866, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 162, 'datetime': '2024-07-06T15:53:23', 'T': 22.84000015, 'RH': 32.66999817, 'P': 891.2399902, 'eVOC': 0.579999983, 'CO2': 426.75, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 163, 'datetime': '2024-07-06T15:54:36', 'T': 22.85000038, 'RH': 32.59999847, 'P': 891.210022, 'eVOC': 0.569999993, 'CO2': 424.6700134, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 164, 'datetime': '2024-07-06T15:55:50', 'T': 22.85000038, 'RH': 32.63000107, 'P': 891.2199707, 'eVOC': 0.560000002, 'CO2': 427.9400024, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 165, 'datetime': '2024-07-06T15:57:02', 'T': 22.80999947, 'RH': 32.70000076, 'P': 891.210022, 'eVOC': 0.550000012, 'CO2': 427.3900146, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 166, 'datetime': '2024-07-06T15:58:16', 'T': 22.81999969, 'RH': 32.68000031, 'P': 891.2000122, 'eVOC': 0.560000002, 'CO2': 422.4899902, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 167, 'datetime': '2024-07-06T15:59:28', 'T': 22.77000046, 'RH': 32.72999954, 'P': 891.2000122, 'eVOC': 0.550000012, 'CO2': 422.7200012, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 168, 'datetime': '2024-07-06T16:00:42', 'T': 22.79999924, 'RH': 32.72999954, 'P': 891.210022, 'eVOC': 0.589999974, 'CO2': 424.2000122, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 169, 'datetime': '2024-07-06T16:01:55', 'T': 22.76000023, 'RH': 32.75999832, 'P': 891.1900024, 'eVOC': 0.569999993, 'CO2': 425.7600098, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 170, 'datetime': '2024-07-06T16:03:08', 'T': 22.77000046, 'RH': 32.74000168, 'P': 891.1799927, 'eVOC': 0.569999993, 'CO2': 421.230011, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 171, 'datetime': '2024-07-06T16:04:21', 'T': 22.78000069, 'RH': 32.75, 'P': 891.2000122, 'eVOC': 0.569999993, 'CO2': 420.769989, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 172, 'datetime': '2024-07-06T16:05:35', 'T': 22.76000023, 'RH': 32.79999924, 'P': 891.2199707, 'eVOC': 0.569999993, 'CO2': 423.2000122, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 173, 'datetime': '2024-07-06T16:06:47', 'T': 22.77000046, 'RH': 32.72999954, 'P': 891.2600098, 'eVOC': 0.579999983, 'CO2': 421.3800049, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 174, 'datetime': '2024-07-06T16:08:01', 'T': 22.77000046, 'RH': 32.66999817, 'P': 891.25, 'eVOC': 0.550000012, 'CO2': 425.3999939, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 175, 'datetime': '2024-07-06T16:09:13', 'T': 22.73999977, 'RH': 32.68999863, 'P': 891.289978, 'eVOC': 0.529999971, 'CO2': 426.5700073, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 176, 'datetime': '2024-07-06T16:10:26', 'T': 22.77000046, 'RH': 32.63000107, 'P': 891.289978, 'eVOC': 0.529999971, 'CO2': 425.0400085, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 177, 'datetime': '2024-07-06T16:11:40', 'T': 22.79999924, 'RH': 32.54000092, 'P': 891.2999878, 'eVOC': 0.529999971, 'CO2': 428.480011, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 178, 'datetime': '2024-07-06T16:12:52', 'T': 22.75, 'RH': 32.52000046, 'P': 891.3200073, 'eVOC': 0.519999981, 'CO2': 429.4299927, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 179, 'datetime': '2024-07-06T16:14:06', 'T': 22.79999924, 'RH': 32.45999908, 'P': 891.289978, 'eVOC': 0.50999999, 'CO2': 425.4700012, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 180, 'datetime': '2024-07-06T16:15:19', 'T': 22.84000015, 'RH': 32.38999939, 'P': 891.2800293, 'eVOC': 0.50999999, 'CO2': 428.7600098, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 181, 'datetime': '2024-07-06T16:16:32', 'T': 22.81999969, 'RH': 32.36999893, 'P': 891.3200073, 'eVOC': 0.50999999, 'CO2': 429.2200012, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 182, 'datetime': '2024-07-06T16:17:45', 'T': 22.84000015, 'RH': 32.31000137, 'P': 891.3099976, 'eVOC': 0.5, 'CO2': 430.8299866, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 183, 'datetime': '2024-07-06T16:18:58', 'T': 22.92000008, 'RH': 32.16999817, 'P': 891.3099976, 'eVOC': 0.5, 'CO2': 424.1099854, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 184, 'datetime': '2024-07-06T16:20:11', 'T': 22.90999985, 'RH': 32.09999847, 'P': 891.3200073, 'eVOC': 0.50999999, 'CO2': 423.7600098, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 185, 'datetime': '2024-07-06T16:21:25', 'T': 22.88999939, 'RH': 32.11000061, 'P': 891.2999878, 'eVOC': 0.50999999, 'CO2': 423.2200012, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 186, 'datetime': '2024-07-06T16:22:37', 'T': 22.84000015, 'RH': 32.11999893, 'P': 891.2999878, 'eVOC': 0.5, 'CO2': 425.2999878, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 187, 'datetime': '2024-07-06T16:23:51', 'T': 22.82999992, 'RH': 32.18000031, 'P': 891.289978, 'eVOC': 0.519999981, 'CO2': 419.5, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 188, 'datetime': '2024-07-06T16:25:04', 'T': 22.82999992, 'RH': 32.18999863, 'P': 891.2800293, 'eVOC': 0.50999999, 'CO2': 418.3699951, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 189, 'datetime': '2024-07-06T16:26:17', 'T': 22.81999969, 'RH': 32.20999908, 'P': 891.2800293, 'eVOC': 0.529999971, 'CO2': 420.0299988, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 190, 'datetime': '2024-07-06T16:27:30', 'T': 22.79999924, 'RH': 32.24000168, 'P': 891.289978, 'eVOC': 0.529999971, 'CO2': 421.5700073, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 191, 'datetime': '2024-07-06T16:28:44', 'T': 22.79000092, 'RH': 32.29999924, 'P': 891.3499756, 'eVOC': 0.540000021, 'CO2': 418.0599976, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 192, 'datetime': '2024-07-06T16:29:56', 'T': 22.77000046, 'RH': 32.31999969, 'P': 891.3499756, 'eVOC': 0.519999981, 'CO2': 422.6099854, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 193, 'datetime': '2024-07-06T16:31:10', 'T': 22.71999931, 'RH': 32.38000107, 'P': 891.3499756, 'eVOC': 0.529999971, 'CO2': 424.5499878, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 194, 'datetime': '2024-07-06T16:32:22', 'T': 22.72999954, 'RH': 32.40000153, 'P': 891.3400269, 'eVOC': 0.529999971, 'CO2': 423.5, 'PM25': 0}}
