Time,Temp,RH,Pres,CO2,VOC,PM1,PM25,PM10
2024_07_06 - 03:40:54 PM, 26.34, 28.75, 888.68, 1370.51, 0.50, 4.00, 10.00, 22.00
2024_07_06 - 03:41:54 PM, 26.15, 29.31, 888.69, 865.59, 0.51, 0.00, 4.00, 16.00
2024_07_06 - 03:42:54 PM, 25.99, 29.53, 888.70, 475.26, 0.51, 0.00, 8.00, 18.00
2024_07_06 - 03:43:55 PM, 25.88, 29.74, 888.70, 416.64, 0.51, 4.00, 14.00, 24.00
2024_07_06 - 03:44:55 PM, 25.84, 29.86, 888.70, 353.10, 0.51, 2.00, 8.00, 20.00
2024_07_06 - 03:45:56 PM, 25.77, 29.99, 888.72, 324.49, 0.50, 2.00, 14.00, 24.00
2024_07_06 - 03:46:56 PM, 25.77, 29.99, 888.77, 324.49, 0.51, 0.00, 10.00, 20.00
2024_07_06 - 03:47:57 PM, 25.98, 29.46, 888.74, 292.28, 0.50, 2.00, 14.00, 24.00
2024_07_06 - 03:48:57 PM, 26.09, 29.59, 888.79, 309.18, 0.51, 0.00, 6.00, 16.00
2024_07_06 - 03:49:57 PM, 26.19, 29.45, 888.76, 397.47, 0.51, 2.00, 6.00, 18.00
2024_07_06 - 03:50:58 PM, 26.19, 29.38, 888.77, 488.64, 0.51, 2.00, 10.00, 22.00
2024_07_06 - 03:51:58 PM, 26.34, 28.62, 888.70, 586.12, 0.49, 4.00, 14.00, 24.00
2024_07_06 - 03:52:59 PM, 26.10, 29.43, 888.76, 483.46, 0.50, 4.00, 12.00, 22.00
2024_07_06 - 03:53:59 PM, 26.34, 29.50, 888.77, 627.05, 0.51, 2.00, 10.00, 22.00
2024_07_06 - 03:55:00 PM, 26.44, 28.53, 888.73, 616.14, 0.51, 2.00, 12.00, 22.00
2024_07_06 - 03:56:00 PM, 26.44, 28.53, 888.62, 616.14, 0.51, 0.00, 8.00, 18.00
2024_07_06 - 03:57:00 PM, 26.44, 28.53, 888.62, 616.14, 0.50, 2.00, 10.00, 20.00
2024_07_06 - 03:58:01 PM, 26.12, 31.01, 888.65, 527.80, 0.50, 2.00, 12.00, 22.00
2024_07_06 - 03:59:01 PM, 26.19, 30.69, 888.68, 2730.23, 0.52, 4.00, 12.00, 22.00
2024_07_06 - 04:00:02 PM, 26.26, 30.38, 888.65, 891.85, 0.52, 4.00, 18.00, 28.00
2024_07_06 - 04:01:02 PM, 26.43, 29.15, 888.63, 640.88, 0.49, 2.00, 8.00, 18.00
2024_07_06 - 04:02:03 PM, 26.43, 29.53, 888.67, 584.00, 0.53, 2.00, 10.00, 20.00
2024_07_06 - 04:03:03 PM, 26.48, 29.20, 888.68, 621.30, 0.52, 2.00, 10.00, 20.00
2024_07_06 - 04:04:04 PM, 26.47, 28.76, 888.64, 628.91, 0.53, 2.00, 12.00, 24.00
2024_07_06 - 04:05:04 PM, 26.48, 29.35, 888.66, 645.10, 0.53, 0.00, 10.00, 20.00
2024_07_06 - 04:06:04 PM, 26.25, 29.00, 888.67, 632.65, 0.54, 4.00, 14.00, 26.00
2024_07_06 - 04:07:05 PM, 26.09, 29.14, 888.69, 616.15, 0.54, 2.00, 12.00, 22.00
2024_07_06 - 04:08:05 PM, 26.09, 29.14, 888.69, 616.15, 0.52, 2.00, 12.00, 24.00
2024_07_06 - 04:09:06 PM, 26.15, 29.31, 888.73, 613.16, 0.54, 4.00, 16.00, 26.00
2024_07_06 - 04:10:06 PM, 26.09, 29.32, 888.69, 604.26, 0.56, 0.00, 8.00, 18.00
